"class","sample","1.02_567.3333n","1.32_480.3092m/z","1.32_495.3370n","1.54_509.3486n","1.82_523.3658n","1.83_508.3403m/z","4.77_807.5028m/z","4.86_857.5183m/z","5.35_859.5325m/z","5.82_885.5481m/z","5.84_809.5169m/z","5.93_747.4981m/z","6.04_835.5335m/z","6.34_723.4959m/z","6.77_887.5651m/z","6.90_913.5804m/z","7.00_744.5549m/z","7.01_889.5806m/z","7.29_772.5874m/z","7.30_788.6180m/z"
"disease","MS15006025",1021882.23348368,316772.716656586,91278438.5381936,1776348.4376446,51635580.1113909,272052.920623106,1005.27778360853,479245.556231507,46312.8109483064,12075.5294806189,10567.4368679904,18182.046296808,298903.492496711,403130.431326212,1203805.85602122,112068.321911156,8771730.73056932,243615.546105786,3227936.88733333,27055139.4631019
"disease","MS15006026",1150319.94733217,385874.604999009,101574001.018729,2095456.21088079,56371165.5251647,312741.084720227,3373.10762249798,961165.331916241,97145.6655064336,23176.8440842086,26098.209033071,15229.4389453843,462803.01094179,277369.705948191,1410342.08279664,150355.726793,7345358.87231913,242219.040635654,2645296.64161221,22287232.1579953
"disease","MS15006028",696843.440514003,301004.36635639,85172117.4529969,1109937.36451607,44590795.1247718,270513.1399802,12238.6162819987,979825.539288341,114689.409437631,35114.2274817889,33655.7050370119,18099.4633989223,530552.850197875,471578.792095555,1152913.08145059,165170.246625626,10797264.8517384,289064.964395379,3998785.39025637,30988494.2883905
"disease","MS15006029",728049.743670954,275560.592404756,85006549.3046324,1716463.16402301,48243878.5936893,255520.514660203,2803.35466984552,477079.315494349,60983.3336054823,3923.27016728439,20325.6099870893,16796.7855072567,337976.372923432,279111.087999851,931308.86311525,109572.859198214,6672949.90966552,220437.113739298,2833313.53340788,22924663.0614256
"disease","MS15006030",639117.199252011,311527.90504789,90024398.4377698,1550468.67348761,50361091.181936,263717.919540502,6024.20587770657,981366.119229348,119096.151934802,34374.1541706287,37154.6468783062,16892.9098471409,710933.24776863,419239.108748758,1380895.20808054,213037.303303369,9669060.32627646,390833.663117442,4023336.40922359,28322035.0393682
"disease","MS15006031",1316503.08805578,319198.169879206,90199393.2897938,1442809.93014056,51002910.6917091,264906.993464431,3953.52194887076,1118174.84213758,94493.492009126,22414.1836167766,41816.9840023249,16828.0692544637,579657.654066983,450738.118887273,1404842.23937787,211925.165027165,9462474.44355288,230007.076412101,3887724.49799282,31485091.7200813
"disease","MS15006033",1021076.62361195,416706.912990867,97463905.5015481,1300550.67504942,52382391.9996686,336812.588075781,13801.8727870751,1147767.228215,128914.783847141,23596.3018789138,33255.1960684773,12871.9383411387,870109.176243353,592278.475887964,1701768.50114401,210266.38859613,13336714.3452618,356628.350316038,5086372.39502621,41461818.4333486
"disease","MS15006034",1127342.48879686,373757.376265047,92785809.476264,1603970.29639879,52336881.7682618,332920.296103595,7833.81318241696,1005647.42988048,161961.348102742,36109.3511189589,28936.5441570913,2837.66420112821,575741.353225748,260549.797416574,1885063.67875098,215444.532132145,10388455.0795434,433605.079811371,3505572.49046498,31014011.532346
"disease","MS15006037",669487.499355127,256407.253453871,73667342.6200533,1123549.24110406,31478158.9033471,192112.932066796,2193.12181607718,489510.316948957,38831.1946173312,9071.10300187003,7165.87179662913,8882.40091392865,287554.484987485,410635.720180534,817123.22530893,108818.246334422,9239654.50760821,176519.858975296,2921131.392875,21499058.862712
"disease","MS15006038",857523.383995942,309207.890320097,89578382.1305824,1534433.84884617,49700526.3120041,244734.420045337,11567.5408591331,902328.817726347,119822.73774131,50452.4843086676,41603.3239250328,2642.39203416211,613947.064802211,245863.16848258,2579187.64097445,253047.771860862,14407892.6844675,368087.661528579,4651453.04379038,48855129.6060978
"disease","MS15006039",863347.005425053,430688.016082175,106747602.221644,1892868.98993395,60004853.5292548,325405.770516124,6835.20027823571,1096334.25120998,131646.020727258,29864.7775428915,29449.1205807334,16813.1927112372,753758.232772686,310362.541589641,1300700.0608407,213201.369536733,11027530.6705618,452916.115030085,3484285.17475425,34409450.1425789
"disease","MS15006040",1037688.62753292,365907.144386224,95499932.0543508,1693195.98580357,58163819.7068117,339942.692368715,6086.95923395121,680830.51106637,82565.319410228,31837.6637846479,29697.0085617673,18733.5198227851,421365.869140331,544530.430728672,1220907.89743001,151609.629441604,9186930.61530942,371930.018400093,3742775.01637015,33662886.5399843
"disease","MS15006041",646709.342231028,282744.56862735,76737251.7895513,1179084.66395918,30138743.3179752,218076.534473327,1943.10587360928,565803.547448108,35063.2623640804,5456.87556640601,3517.35878790949,15079.6065712115,461784.078437161,371635.667534026,927437.947107687,105749.977654305,8909711.02850644,217384.504843652,3382592.76839029,22098248.8552002
